,clid,hhid,n01,n02,n_ta,n03_en,n03_co,n05,n06_1,n06_2,n06_3,n06_4,n06_5,n06_6,n06_7,n06_8,n06_9,n06_10,n06_11,n06_12,n07_mo,n07_ks
89,40.0,5.0,Yes,1,1,F.A CLINIC,Isiolo  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,240000.0
90,41.0,5.0,Yes,1,1,MARY DRESSMAKERS,Nyeri  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,18000.0
91,41.0,6.0,Yes,1,1,PETER'S BODABODA,Nyeri  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30000.0
92,41.0,7.0,Yes,1,2,NKIROTE SHOP,Nyeri  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,120000.0
93,41.0,7.0,Yes,2,2,RICHARD'S GARAGE,Nyeri  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70000.0
94,41.0,10.0,Yes,1,2,MUNIA SHOP,Nyeri  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90000.0
95,41.0,10.0,Yes,2,2,WAIRIMU SHOP,Nyeri  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,54000.0
96,42.0,5.0,Yes,1,1,SHIMO VEGES,Makueni  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30000.0
97,43.0,2.0,Yes,1,1,JAENS SHOP,Kitui  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,18000.0
98,43.0,3.0,Yes,1,1,MUENI'S,Kitui  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,42000.0
99,43.0,4.0,Yes,1,1,MUM MARY TAILORING,Kitui  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24000.0
100,44.0,2.0,Yes,1,1,SHOP,Bungoma  ,No,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,720000.0
101,44.0,3.0,Yes,1,1,JUAKALI,Bungoma  ,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20000.0
102,44.0,7.0,Yes,1,1,FIREWOOD,Bungoma  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4800.0
103,44.0,8.0,Yes,1,1,MUTURA/MEAT VENDOR,Bungoma  ,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,700.0
104,47.0,1.0,Yes,1,1,SUPERMAX,Nyandarua  ,No,,,,,1.0,,,,,,,,5.0,24000.0
105,47.0,4.0,Yes,1,1,ANN KNITTING,Nyandarua  ,No,,,,,,1.0,,,,,,,,8000.0
106,47.0,8.0,Yes,1,1,KIMANI POOLTABLE,Nyandarua  ,Yes,,,,,1.0,,,,,,,,1.0,6000.0
107,48.0,2.0,Yes,1,1,MAR KIOSK,Kericho  ,Yes,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30000.0
108,48.0,4.0,Yes,1,1,BODABODA,Kericho  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8000.0
109,48.0,9.0,Yes,1,1,SALMAT,Kericho  ,Yes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,60000.0
110,49.0,10.0,Yes,1,1,SILVIA'S PHONE CHARGING,Vihiga  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,540.0
111,50.0,5.0,Yes,1,1,HOME SHOP,Kirinyaga  ,No,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18000.0
112,50.0,6.0,Yes,1,1,BARBER SHOP,Kirinyaga  ,No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9000.0
113,51.0,9.0,Yes,1,1,NESSY HOTEL,Nyandarua  ,No,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2000.0
114,51.0,10.0,Yes,1,1,BLESSED HOTEL,Nyandarua  ,No,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7500.0
115,53.0,3.0,Yes,1,1,BODABODA,Nakuru  ,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100000.0
