,county,clid,hhid,resid,eatype,strat,hhsize,ctry_adq,padqnfitems,padqeduc,padqrent,padqegy,padqexp,padqfdcons,pl_abs,pl_food,pdeflator,weight,weight_pop,weight_adq
83,Mombasa,691.0,3.0,Urban,Urban,12,2,1.649999976158142,925.19275,1197.7747,984.2476,531.4937,12250.414,8611.706,5995.902,2551.1006,0.9236405,510.3735816672421,1020.7472,842.1164
84,Mombasa,691.0,4.0,Urban,Urban,12,1,1.0,1398.6101,0.0,900.39276,72.03142,15328.043,12957.009,5995.902,2551.1006,0.5553132,510.3735816672421,510.3736,510.3736
85,Mombasa,691.0,5.0,Urban,Urban,12,5,4.299999952316284,336.1809,279.98926,1162.5852,139.51022,4123.258,2204.9922,5995.902,2551.1006,0.8001414,510.3735816672421,2551.868,2194.6064
86,Mombasa,691.0,6.0,Urban,Urban,12,1,1.0,1680.313,0.0,1650.9625,44.02567,13991.766,10616.465,5995.902,2551.1006,0.9085609,510.3735816672421,510.3736,510.3736
87,Mombasa,691.0,7.0,Urban,Urban,12,1,1.0,5260.5815,0.0,1868.5835,77.85765,17972.047,10765.024,5995.902,2551.1006,0.64219767,510.3735816672421,510.3736,510.3736
88,Mombasa,691.0,8.0,Urban,Urban,12,1,1.0,1537.4845,0.0,2926.6836,936.53876,15021.689,9620.982,5995.902,2551.1006,0.8542092,510.3735816672421,510.3736,510.3736
89,Mombasa,691.0,9.0,Urban,Urban,12,3,2.649999976158142,912.52203,135.84973,673.61096,293.43542,9243.397,7227.98,5995.902,2551.1006,0.9259213,510.3735816672421,1531.1207,1352.49
90,Mombasa,691.0,10.0,Urban,Urban,12,5,3.539999946951866,3267.6606,190.7384,398.06274,258.74078,12440.691,8325.489,5995.902,2551.1006,0.851582,510.3735816672421,2551.868,1806.7224
91,Mombasa,828.0,1.0,Urban,Urban,12,5,5.0,1949.6377,342.8695,339.7239,169.86195,4100.9956,1298.9028,5995.902,2551.1006,1.059684,708.6302469528539,3543.1511,3543.1511
92,Mombasa,828.0,2.0,Urban,Urban,12,3,3.0,3684.9182,1817.9733,831.6828,515.0036,10586.795,3737.2175,5995.902,2551.1006,1.042064,708.6302469528539,2125.8906,2125.8906
93,Mombasa,828.0,3.0,Urban,Urban,12,1,1.0,4752.52,0.0,1837.7797,482.41718,15537.31,8464.593,5995.902,2551.1006,1.0882697,708.6302469528539,708.63025,708.63025
94,Mombasa,828.0,4.0,Urban,Urban,12,1,1.0,2354.9941,0.0,2924.5215,789.62085,12301.225,6232.089,5995.902,2551.1006,1.0258088,708.6302469528539,708.63025,708.63025
95,Mombasa,828.0,5.0,Urban,Urban,12,3,2.649999976158142,2358.5603,184.98859,744.9205,273.7583,8478.204,4915.9766,5995.902,2551.1006,1.013151,708.6302469528539,2125.8906,1877.8701
96,Mombasa,828.0,6.0,Urban,Urban,12,4,2.889999970793724,2042.9541,64.14736,502.02286,129.85658,5271.3545,2532.3733,5995.902,2551.1006,1.0338795,708.6302469528539,2834.521,2047.9414
97,Mombasa,828.0,7.0,Urban,Urban,12,1,1.0,3512.8777,0.0,1998.3186,159.86551,10407.731,4736.6694,5995.902,2551.1006,1.0008414,708.6302469528539,708.63025,708.63025
98,Mombasa,828.0,8.0,Urban,Urban,12,2,1.649999976158142,5074.6626,192.3943,1439.7179,863.83075,14099.948,6529.343,5995.902,2551.1006,1.0523947,708.6302469528539,1417.2605,1169.2399
99,Mombasa,828.0,9.0,Urban,Urban,12,4,2.889999970793724,5032.371,411.06235,1268.3193,266.09048,15047.315,8069.4727,5995.902,2551.1006,0.99609685,708.6302469528539,2834.521,2047.9414
100,Mombasa,955.0,1.0,Urban,Urban,12,5,3.539999946951866,902.39136,96.456154,976.1828,610.8115,3804.8794,1219.0376,5995.902,2551.1006,1.0128232,830.3142287528385,4151.5713,2939.3123
101,Mombasa,955.0,2.0,Urban,Urban,12,3,2.299999952316284,1290.3469,0.0,1327.3875,290.12894,6079.4155,3171.5525,5995.902,2551.1006,1.1464168,830.3142287528385,2490.9426,1909.7227
102,Mombasa,955.0,3.0,Urban,Urban,12,4,2.889999970793724,1353.1431,0.0,1031.0099,266.3442,4048.1099,1397.6125,5995.902,2551.1006,1.0068403,830.3142287528385,3321.2568,2399.6082
103,Mombasa,955.0,4.0,Urban,Urban,12,10,9.239999994635582,1128.0576,0.0,705.6474,490.4403,4513.9175,2189.772,5995.902,2551.1006,1.0305256,830.3142287528385,8303.143,7672.1035
104,Mombasa,955.0,5.0,Urban,Urban,12,1,1.0,978.85803,0.0,2515.0515,513.0705,6629.486,2622.5063,5995.902,2551.1006,0.99401546,830.3142287528385,830.3142,830.3142
105,Mombasa,955.0,6.0,Urban,Urban,12,1,1.0,1202.1619,0.0,3068.2302,473.3841,9145.113,4401.337,5995.902,2551.1006,1.1407228,830.3142287528385,830.3142,830.3142
106,Mombasa,955.0,7.0,Urban,Urban,12,2,2.0,9030.587,125.24192,1021.6236,3241.9766,17516.26,4096.8315,5995.902,2551.1006,1.1644131,830.3142287528385,1660.6284,1660.6284
107,Mombasa,955.0,8.0,Urban,Urban,12,2,2.0,360.5671,0.0,1136.9918,464.04346,4368.3887,2406.7866,5995.902,2551.1006,0.9374122,830.3142287528385,1660.6284,1660.6284
108,Mombasa,955.0,9.0,Urban,Urban,12,4,4.0,1525.6259,0.0,1732.8599,461.10318,7041.845,3322.2566,5995.902,2551.1006,0.9233291,830.3142287528385,3321.2568,3321.2568
109,Mombasa,955.0,10.0,Urban,Urban,12,6,4.189999923110008,3131.9482,573.4863,1779.4017,333.63782,8126.6514,2308.1772,5995.902,2551.1006,1.0730056,830.3142287528385,4981.8853,3479.0166
110,Mombasa,957.0,1.0,Urban,Urban,12,2,2.0,1738.753,0.0,1351.9462,703.012,12639.72,8846.009,5995.902,2551.1006,1.1095116,539.2762516642149,1078.5525,1078.5525
111,Mombasa,957.0,2.0,Urban,Urban,12,1,1.0,4238.8633,0.0,1656.035,1573.2333,23791.78,16323.647,5995.902,2551.1006,1.207704,539.2762516642149,539.27625,539.27625
112,Mombasa,957.0,3.0,Urban,Urban,12,3,2.239999994635582,2616.667,0.0,1204.1725,770.6704,11796.14,7204.6304,5995.902,2551.1006,1.1122042,539.2762516642149,1617.8287,1207.9788
113,Mombasa,957.0,4.0,Urban,Urban,12,2,2.0,4509.2197,0.0,3313.8623,1278.2041,15263.377,6162.0913,5995.902,2551.1006,1.0561694,539.2762516642149,1078.5525,1078.5525
114,Mombasa,957.0,5.0,Urban,Urban,12,1,1.0,2185.0425,0.0,8211.946,2833.1213,20547.557,7317.4463,5995.902,2551.1006,1.2177382,539.2762516642149,539.27625,539.27625
115,Mombasa,957.0,6.0,Urban,Urban,12,1,1.0,1457.1045,0.0,1455.1643,0.0,6284.554,3372.2856,5995.902,2551.1006,1.0308114,539.2762516642149,539.27625,539.27625
116,Mombasa,957.0,7.0,Urban,Urban,12,3,2.239999994635582,2268.6724,613.8364,1241.4668,206.91115,9525.014,5194.1274,5995.902,2551.1006,1.0787929,539.2762516642149,1617.8287,1207.9788
117,Mombasa,957.0,8.0,Urban,Urban,12,2,2.0,2014.2247,0.0,2327.4302,861.14923,10298.21,5095.4053,5995.902,2551.1006,1.074146,539.2762516642149,1078.5525,1078.5525
118,Mombasa,957.0,9.0,Urban,Urban,12,1,1.0,3209.3494,0.0,5468.1606,165.95485,19039.201,10195.736,5995.902,2551.1006,1.4461765,539.2762516642149,539.27625,539.27625
119,Mombasa,957.0,10.0,Urban,Urban,12,1,1.0,454.973,0.0,2420.069,261.36746,9109.371,5972.961,5995.902,2551.1006,1.0330284,539.2762516642149,539.27625,539.27625
120,Mombasa,982.0,1.0,Urban,Urban,12,3,2.649999976158142,1683.3015,592.9462,988.2438,339.95584,9379.242,5774.795,5995.902,2551.1006,0.954619,1389.930401736727,4169.791,3683.3154
121,Mombasa,982.0,2.0,Urban,Urban,12,3,2.299999952316284,1759.7515,924.1033,801.6318,302.83868,7324.895,3536.5698,5995.902,2551.1006,0.97626954,1389.930401736727,4169.791,3196.8398
122,Mombasa,982.0,3.0,Urban,Urban,12,6,6.0,3121.838,887.6372,1419.6185,448.15817,11416.723,5539.4707,5995.902,2551.1006,1.0561748,1389.930401736727,8339.582,8339.582
123,Mombasa,982.0,4.0,Urban,Urban,12,5,3.539999946951866,4087.2783,1023.83453,1176.3206,216.96579,10158.141,3653.7417,5995.902,2551.1006,1.0806463,1389.930401736727,6949.652,4920.3535
124,Mombasa,982.0,5.0,Urban,Urban,12,3,2.239999994635582,6542.8774,0.0,3031.5923,731.0468,11491.085,1185.5691,5995.902,2551.1006,1.0308114,1389.930401736727,4169.791,3113.444
125,Mombasa,982.0,6.0,Urban,Urban,12,6,4.539999946951866,5089.6846,545.5557,2048.8096,514.69666,14727.931,6529.1846,5995.902,2551.1006,0.9671664,1389.930401736727,8339.582,6310.284
126,Mombasa,982.0,7.0,Urban,Urban,12,6,4.949999928474426,523.5222,416.5973,252.8528,61.538986,4121.73,2867.2188,5995.902,2551.1006,1.009461,1389.930401736727,8339.582,6880.1553
